CONTROL PRESTAMOS - QA TECNICO FINAL LIMPIO
Fecha: 20260613-195927

OK: 54
WARN: 0
FAIL: 0
TOTAL: 54

=====================================================
PROBLEMAS
=====================================================
Sin fallos ni advertencias.

=====================================================
TODOS LOS CHECKS
=====================================================
OK | Reglas | FinancialOperationRules | app\src\main\java\com\controlprestamos\core\rules\FinancialOperationRules.kt | object FinancialOperationRules | L10
OK | Reglas | Crear préstamo por cliente | app\src\main\java\com\controlprestamos\core\rules\FinancialOperationRules.kt | canCreateLoanForClient | L12
OK | Reglas | Registrar pago por préstamo | app\src\main\java\com\controlprestamos\core\rules\FinancialOperationRules.kt | canRegisterPaymentForLoan | L16
OK | Reglas | Reporte operativo | app\src\main\java\com\controlprestamos\core\rules\FinancialOperationRules.kt | shouldCountLoanInOperationalReports | L71
OK | Reglas | Pago financiero | app\src\main\java\com\controlprestamos\core\rules\FinancialOperationRules.kt | shouldCountPaymentFinancially | L81
OK | Reglas | Préstamo cerrado | app\src\main\java\com\controlprestamos\core\rules\FinancialOperationRules.kt | isClosedLoan | L85
OK | Clientes | Anti duplicado | app\src\main\java\com\controlprestamos\features\clients\data\LocalClientRepository.kt | findDuplicateClient | L57, L89, L132
OK | Clientes | Archivar seguro | app\src\main\java\com\controlprestamos\features\clients\data\LocalClientRepository.kt | archiveClientSafely | L172
OK | Clientes | Reactivar cliente | app\src\main\java\com\controlprestamos\features\clients\data\LocalClientRepository.kt | reactivateClient | L185
OK | Clientes | Filtro lista | app\src\main\java\com\controlprestamos\features\clients\presentation\ClientsScreen.kt | ClientListFilter | L46, L67, L71, L72, L77
OK | Clientes | Detalle usa reglas | app\src\main\java\com\controlprestamos\features\clients\presentation\ClientDetailScreen.kt | FinancialOperationRules | L34, L178, L191, L217
OK | Clientes | PDF cobranza detalle | app\src\main\java\com\controlprestamos\features\clients\presentation\ClientDetailScreen.kt | PDF de cobranza | L199, L212
OK | Préstamos | Estado por balance | app\src\main\java\com\controlprestamos\features\loans\data\LocalLoanRepository.kt | updateLoanStatusByBalance | L179
OK | Préstamos | Protección edición | app\src\main\java\com\controlprestamos\features\loans\data\LocalLoanRepository.kt | hasPaymentHistory | L108, L112
OK | Préstamos | Crear préstamo bloquea archivados | app\src\main\java\com\controlprestamos\features\loans\presentation\CreateLoanScreen.kt | canCreateLoanForClient | L119
OK | Préstamos | Editar préstamo reglas | app\src\main\java\com\controlprestamos\features\loans\presentation\EditLoanScreen.kt | FinancialOperationRules | L38, L152
OK | Préstamos | Cartera por cliente reglas | app\src\main\java\com\controlprestamos\features\loans\presentation\LoansByClientScreen.kt | FinancialOperationRules | L32, L56, L273
OK | Préstamos | Cartera bloquea préstamo cerrado | app\src\main\java\com\controlprestamos\features\loans\presentation\LoansByClientScreen.kt | isClosedLoan | L273
OK | Pagos | Historial total | app\src\main\java\com\controlprestamos\features\payments\data\LocalPaymentRepository.kt | getAllPaymentHistory | L45
OK | Pagos | Historial por préstamo | app\src\main\java\com\controlprestamos\features\payments\data\LocalPaymentRepository.kt | getPaymentHistoryByLoan | L55
OK | Pagos | Anular pago | app\src\main\java\com\controlprestamos\features\payments\data\LocalPaymentRepository.kt | cancelPayment | L117
OK | Pagos | Crear pago reglas | app\src\main\java\com\controlprestamos\features\payments\presentation\CreatePaymentScreen.kt | FinancialOperationRules | L35, L152, L155, L168, L171
OK | Pagos | Crear pago bloquea cerrados | app\src\main\java\com\controlprestamos\features\payments\presentation\CreatePaymentScreen.kt | isClosedLoan | L168, L183
OK | Pagos | Historial préstamo reglas | app\src\main\java\com\controlprestamos\features\payments\presentation\PaymentsByLoanScreen.kt | FinancialOperationRules | L40, L94, L95, L463, L626
OK | Pagos | Centro pagos filtra operación | app\src\main\java\com\controlprestamos\features\payments\presentation\PaymentsScreen.kt | operationalLoanIds | L661, L686
OK | Pagos | Centro pagos usa reglas financieras | app\src\main\java\com\controlprestamos\features\payments\presentation\PaymentsScreen.kt | shouldCountPaymentFinancially | L688
OK | Cuotas | Reconstrucción | app\src\main\java\com\controlprestamos\features\installments\data\LocalInstallmentRepository.kt | rebuildInstallmentsForLoan | L325
OK | Cuotas | Aplicar pago | app\src\main\java\com\controlprestamos\features\installments\data\LocalInstallmentRepository.kt | applyPaymentToInstallments | L125, L187, L194, L364
